id,severity,title,description,iacontrols,ruleID,fixid,fixtext,checkid,checktext
V-38660,medium,The snmpd service must use only SNMP protocol version 3 or newer.,"Earlier versions of SNMP are considered insecure, as they potentially allow unauthorized access to detailed system management information.
",None,SV-50461r1_rule,F-43604r1_fix,"Edit ""/etc/snmp/snmpd.conf"", removing any references to ""v1"", ""v2c"", or ""com2sec"". Upon doing that, restart the SNMP service: 

# service snmpd restart",C-46215r1_chk,"To ensure only SNMPv3 or newer is used, run the following command: 

# grep 'v1\|v2c\|com2sec' /etc/snmp/snmpd.conf | grep -v '^#'

There should be no output. 
If there is output, this is a finding."
V-38663,medium,The system package management tool must verify permissions on all files and directories associated with the audit package.,Permissions on audit binaries and configuration files that are too generous could allow an unauthorized user to gain privileges that they should not have. The permissions set by the vendor should be maintained. Any deviations from this baseline should be investigated.,None,SV-50464r1_rule,F-43612r1_fix,"The RPM package management system can restore file access permissions of the audit package files and directories. The following command will update audit files with permissions different from what is expected by the RPM database: 

# rpm --setperms audit",C-46223r1_chk,"The following command will list which audit files on the system have permissions different from what is expected by the RPM database: 

# rpm -V audit | grep '^.M'

If there is any output, for each file or directory found, compare the RPM-expected permissions with the permissions on the file or directory:

# rpm -q --queryformat ""[%{FILENAMES} %{FILEMODES:perms}\n]"" audit | grep  [filename]
# ls -lL [filename]

If the existing permissions are more permissive than those expected by RPM, this is a finding."
V-38662,low,The operating system must employ cryptographic mechanisms to prevent unauthorized disclosure of data at rest unless otherwise protected by alternative physical measures.,"The risk of a system's physical compromise, particularly mobile systems such as laptops, places its data at risk of compromise. Encrypting this data mitigates the risk of its loss if the system is lost.",None,SV-50463r1_rule,F-43611r1_fix,"Red Hat Enterprise Linux 6 natively supports partition encryption through the Linux Unified Key Setup-on-disk-format (LUKS) technology. The easiest way to encrypt a partition is during installation time. 

For manual installations, select the ""Encrypt"" checkbox during partition creation to encrypt the partition. When this option is selected the system will prompt for a passphrase to use in decrypting the partition. The passphrase will subsequently need to be entered manually every time the system boots. 

For automated/unattended installations, it is possible to use Kickstart by adding the ""--encrypted"" and ""--passphrase="" options to the definition of each partition to be encrypted. For example, the following line would encrypt the root partition: 

part / --fstype=ext3 --size=100 --onpart=hda1 --encrypted --passphrase=[PASSPHRASE]

Any [PASSPHRASE] is stored in the Kickstart in plaintext, and the Kickstart must then be protected accordingly. Omitting the ""--passphrase="" option from the partition definition will cause the installer to pause and interactively ask for the passphrase during installation. 

Detailed information on encrypting partitions using LUKS can be found on the Red Had Documentation web site:
https://docs.redhat.com/docs/en-US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/sect-Security_Guide-LUKS_Disk_Encryption.html",C-46222r1_chk,"Determine if encryption must be used to protect data on the system. 
If encryption must be used and is not employed, this is a finding."
V-38446,medium,The mail system must forward all mail for root to one or more system administrators.,A number of system services utilize email messages sent to the root user to notify system administrators of active or impending issues.  These messages must be forwarded to at least one monitored email address.,None,SV-50246r1_rule,F-43391r1_fix,"Set up an alias for root that forwards to a monitored email address:

# echo ""root: <system.administrator>@mail.mil"" >> /etc/aliases
# newaliases",C-46001r1_chk,"Find the list of alias maps used by the Postfix mail server:

# postconf alias_maps

Query the Postfix alias maps for an alias for ""root"":

# postmap -q root <alias_map>

If there are no aliases configured for root that forward to a monitored email address, this is a finding."
V-38669,low,The postfix service must be enabled for mail delivery.,Local mail delivery is essential to some system maintenance and notification tasks.,None,SV-50470r1_rule,F-43618r1_fix,"The Postfix mail transfer agent is used for local mail delivery within the system. The default configuration only listens for connections to the default SMTP port (port 25) on the loopback interface (127.0.0.1). It is recommended to leave this service enabled for local mail delivery. The ""postfix"" service can be enabled with the following command: 

# chkconfig postfix on
# service postfix start",C-46230r1_chk,"Run the following command to determine the current status of the ""postfix"" service:

# service postfix status

If the service is enabled, it should return the following:

postfix is running...

If the service is not enabled, this is a finding."
V-38668,high,The x86 Ctrl-Alt-Delete key sequence must be disabled.,"A locally logged-in user who presses Ctrl-Alt-Delete, when at the console, can reboot the system. If accidentally pressed, as could happen in the case of mixed OS environment, this can create the risk of short-term loss of availability of systems due to unintentional reboot. In the GNOME graphical environment, risk of unintentional reboot from the Ctrl-Alt-Delete sequence is reduced because the user will be prompted before any action is taken.",None,SV-50469r2_rule,F-43617r2_fix,"By default, the system includes the following line in ""/etc/init/control-alt-delete.conf"" to reboot the system when the Ctrl-Alt-Delete key sequence is pressed:

exec /sbin/shutdown -r now ""Ctrl-Alt-Delete pressed""


To configure the system to log a message instead of rebooting the system, add the following line to ""/etc/init/control-alt-delete.override"" to read as follows:

exec /usr/bin/logger -p security.info ""Ctrl-Alt-Delete pressed""",C-46228r2_chk,"To ensure the system is configured to log a message instead of rebooting the system when Ctrl-Alt-Delete is pressed, ensure the following line is in ""/etc/init/control-alt-delete.override"":

exec /usr/bin/logger -p security.info ""Control-Alt-Delete pressed""

If the system is not configured to block the shutdown command when Ctrl-Alt-Delete is pressed, this is a finding. "
V-38467,low,The system must use a separate file system for the system audit data path.,"Placing ""/var/log/audit"" in its own partition enables better separation between audit files and other files, and helps ensure that auditing cannot be halted due to the partition running out of space.",None,SV-50267r1_rule,F-43412r1_fix,"Audit logs are stored in the ""/var/log/audit"" directory. Ensure that it has its own partition or logical volume at installation time, or migrate it later using LVM. Make absolutely certain that it is large enough to store all audit logs that will be created by the auditing daemon.",C-46022r1_chk,"Run the following command to determine if ""/var/log/audit"" is on its own partition or logical volume: 

$ mount | grep ""on /var/log/audit ""

If ""/var/log/audit"" has its own partition or volume group, a line will be returned. 
If no line is returned, this is a finding."
V-38466,medium,Library files must be owned by root.,Files from shared library directories are loaded into the address space of processes (including privileged ones) or of the kernel itself at runtime. Proper ownership is necessary to protect the integrity of the system.,None,SV-50266r1_rule,F-43411r1_fix,"System-wide shared library files, which are linked to executables during process load time or run time, are stored in the following directories by default: 

/lib
/lib64
/usr/lib
/usr/lib64

If any file in these directories is found to be owned by a user other than root, correct its ownership with the following command: 

# chown root [FILE]",C-46021r1_chk,"System-wide shared library files, which are linked to executables during process load time or run time, are stored in the following directories by default: 

/lib
/lib64
/usr/lib
/usr/lib64


Kernel modules, which can be added to the kernel during runtime, are stored in ""/lib/modules"". All files in these directories should not be group-writable or world-writable.  To find shared libraries that are not owned by ""root"", run the following command for each directory [DIR] which contains shared libraries: 

$ find -L [DIR] \! -user root


If any of these files are not owned by root, this is a finding."
V-38465,medium,Library files must have mode 0755 or less permissive.,Files from shared library directories are loaded into the address space of processes (including privileged ones) or of the kernel itself at runtime. Restrictive permissions are necessary to protect the integrity of the system.,None,SV-50265r3_rule,F-43409r2_fix,"System-wide shared library files, which are linked to executables during process load time or run time, are stored in the following directories by default: 

/lib
/lib64
/usr/lib
/usr/lib64

If any file in these directories is found to be group-writable or world-writable, correct its permission with the following command: 

# chmod go-w [FILE]",C-46019r4_chk,"System-wide shared library files, which are linked to executables during process load time or run time, are stored in the following directories by default: 

/lib
/lib64
/usr/lib
/usr/lib64


Kernel modules, which can be added to the kernel during runtime, are stored in ""/lib/modules"". All files in these directories should not be group-writable or world-writable. To find shared libraries that are group-writable or world-writable, run the following command for each directory [DIR] which contains shared libraries: 

$ find -L [DIR] -perm /022 -type f


If any of these files (excluding broken symlinks) are group-writable or world-writable, this is a finding."
V-38464,medium,The audit system must take appropriate action when there are disk errors on the audit storage volume.,Taking appropriate action in case of disk errors will minimize the possibility of losing audit records.,None,SV-50264r1_rule,F-43410r1_fix,"Edit the file ""/etc/audit/auditd.conf"". Modify the following line, substituting [ACTION] appropriately: 

disk_error_action = [ACTION]

Possible values for [ACTION] are described in the ""auditd.conf"" man page. These include: 

""ignore""
""syslog""
""exec""
""suspend""
""single""
""halt""


Set this to ""syslog"", ""exec"", ""single"", or ""halt"".",C-46020r1_chk,"Inspect ""/etc/audit/auditd.conf"" and locate the following line to determine if the system is configured to take appropriate action when disk errors occur:

# grep disk_error_action /etc/audit/auditd.conf
disk_error_action = [ACTION]


If the system is configured to ""suspend"" when disk errors occur or ""ignore"" them, this is a finding."
V-38463,low,The system must use a separate file system for /var/log.,"Placing ""/var/log"" in its own partition enables better separation between log files and other files in ""/var/"".",None,SV-50263r1_rule,F-43408r1_fix,"System logs are stored in the ""/var/log"" directory. Ensure that it has its own partition or logical volume at installation time, or migrate it using LVM.",C-46018r1_chk,"Run the following command to determine if ""/var/log"" is on its own partition or logical volume: 

$ mount | grep ""on /var/log ""

If ""/var/log"" has its own partition or volume group, a line will be returned. 
If no line is returned, this is a finding."
V-38462,high,The RPM package management tool must cryptographically verify the authenticity of all software packages during installation.,Ensuring all packages' cryptographic signatures are valid prior to installation ensures the provenance of the software and protects against malicious tampering.,None,SV-50262r1_rule,F-43407r1_fix,"Edit the RPM configuration files containing the ""nosignature"" option and remove the option.",C-46017r1_chk,"Verify RPM signature validation is not disabled:
# grep nosignature /etc/rpmrc /usr/lib/rpm/rpmrc /usr/lib/rpm/redhat/rpmrc ~root/.rpmrc
If any configuration is found, this is a finding."
V-38461,medium,The /etc/group file must have mode 0644 or less permissive.,"The ""/etc/group"" file contains information regarding groups that are configured on the system. Protection of this file is important for system security.",None,SV-50261r1_rule,F-43406r1_fix,"To properly set the permissions of ""/etc/group"", run the command: 

# chmod 644 /etc/group",C-46015r1_chk,"To check the permissions of ""/etc/group"", run the command: 

$ ls -l /etc/group

If properly configured, the output should indicate the following permissions: ""-rw-r--r--"" 
If it does not, this is a finding."
V-38460,low,The NFS server must not have the all_squash option enabled.,"The ""all_squash"" option maps all client requests to a single anonymous uid/gid on the NFS server, negating the ability to track file access by user ID.",None,SV-50260r1_rule,F-43405r1_fix,"Remove any instances of the ""all_squash"" option from the file ""/etc/exports"".  Restart the NFS daemon for the changes to take effect.

# service nfs restart",C-46016r1_chk,"If the NFS server is read-only, in support of unrestricted access to organizational content, this is not applicable.

The related ""root_squash"" option provides protection against remote administrator-level access to NFS server content.  Its use is not a finding.

To verify the ""all_squash"" option has been disabled, run the following command:

# grep all_squash /etc/exports


If there is output, this is a finding."
V-38492,medium,The system must prevent the root account from logging in from virtual consoles.,Preventing direct root login to virtual console devices helps ensure accountability for actions taken on the system using the root account. ,None,SV-50293r1_rule,F-43439r2_fix,"To restrict root logins through the (deprecated) virtual console devices, ensure lines of this form do not appear in ""/etc/securetty"": 

vc/1
vc/2
vc/3
vc/4

Note:  Virtual console entries are not limited to those listed above.  Any lines starting with ""vc/"" followed by numerals should be removed.",C-46049r1_chk,"To check for virtual console entries which permit root login, run the following command: 

# grep '^vc/[0-9]' /etc/securetty

If any output is returned, then root logins over virtual console devices is permitted. 
If root login over virtual console devices is permitted, this is a finding."
V-38702,low,The FTP daemon must be configured for logging or verbose mode.,"To trace malicious activity facilitated by the FTP service, it must be configured to ensure that all commands sent to the ftp server are logged using the verbose vsftpd log format. The default vsftpd log file is /var/log/vsftpd.log.",None,SV-50503r1_rule,F-43651r1_fix,"Add or correct the following configuration options within the ""vsftpd"" configuration file, located at ""/etc/vsftpd/vsftpd.conf"". 

xferlog_enable=YES
xferlog_std_format=NO
log_ftp_protocol=YES",C-46264r1_chk,"Find if logging is applied to the ftp daemon. 

Procedures: 

If vsftpd is started by xinetd the following command will indicate the xinetd.d startup file. 

# grep vsftpd /etc/xinetd.d/*



# grep server_args [vsftpd xinetd.d startup file]

This will indicate the vsftpd config file used when starting through xinetd. If the [server_args]line is missing or does not include the vsftpd configuration file, then the default config file (/etc/vsftpd/vsftpd.conf) is used. 

# grep xferlog_enable [vsftpd config file]


If xferlog_enable is missing, or is not set to yes, this is a finding."
V-38469,medium,All system command files must have mode 755 or less permissive.,"System binaries are executed by privileged users, as well as system services, and restrictive permissions are necessary to ensure execution of these programs cannot be co-opted.",None,SV-50269r3_rule,F-43414r1_fix,"System executables are stored in the following directories by default: 

/bin
/usr/bin
/usr/local/bin
/sbin
/usr/sbin
/usr/local/sbin

If any file in these directories is found to be group-writable or world-writable, correct its permission with the following command: 

# chmod go-w [FILE]",C-46024r3_chk,"System executables are stored in the following directories by default: 

/bin
/usr/bin
/usr/local/bin
/sbin
/usr/sbin
/usr/local/sbin

All files in these directories should not be group-writable or world-writable. To find system executables that are group-writable or world-writable, run the following command for each directory [DIR] which contains system executables: 

$ find -L [DIR] -perm /022 -type f

If any system executables are found to be group-writable or world-writable, this is a finding."
V-38468,medium,The audit system must take appropriate action when the audit storage volume is full.,Taking appropriate action in case of a filled audit storage volume will minimize the possibility of losing audit records.,None,SV-50268r1_rule,F-43413r1_fix,"The ""auditd"" service can be configured to take an action when disk space starts to run low. Edit the file ""/etc/audit/auditd.conf"". Modify the following line, substituting [ACTION] appropriately: 

disk_full_action = [ACTION]

Possible values for [ACTION] are described in the ""auditd.conf"" man page. These include: 

""ignore""
""syslog""
""exec""
""suspend""
""single""
""halt""


Set this to ""syslog"", ""exec"", ""single"", or ""halt"".",C-46023r1_chk,"Inspect ""/etc/audit/auditd.conf"" and locate the following line to determine if the system is configured to take appropriate action when the audit storage volume is full:

# grep disk_full_action /etc/audit/auditd.conf
disk_full_action = [ACTION]


If the system is configured to ""suspend"" when the volume is full or ""ignore"" that it is full, this is a finding."
V-38553,medium,"The operating system must prevent public IPv6 access into an organizations internal networks, except as appropriately mediated by managed interfaces employing boundary protection devices.","The ""ip6tables"" service provides the system's host-based firewalling capability for IPv6 and ICMPv6.",None,SV-50354r3_rule,F-43501r2_fix,"The ""ip6tables"" service can be enabled with the following commands: 

# chkconfig ip6tables on
# service ip6tables start",C-46111r3_chk,"If the system is a cross-domain system, this is not applicable.

If IPv6 is disabled, this is not applicable.

Run the following command to determine the current status of the ""ip6tables"" service: 

# service ip6tables status

If the service is not running, it should return the following: 

ip6tables: Firewall is not running.


If the service is not running, this is a finding."
V-38552,low,The audit system must be configured to audit all discretionary access control permission modifications using fchown.,The changing of file permissions could indicate that a user is attempting to gain access to information that would otherwise be disallowed. Auditing DAC modifications can facilitate the identification of patterns of abuse among both authorized and unauthorized users.,None,SV-50353r3_rule,F-43500r2_fix,"At a minimum, the audit system should collect file permission changes for all users and root. Add the following to ""/etc/audit/audit.rules"": 

-a always,exit -F arch=b32 -S fchown -F auid>=500 -F auid!=4294967295 \
-k perm_mod
-a always,exit -F arch=b32 -S fchown -F auid=0 -k perm_mod

If the system is 64-bit, then also add the following: 

-a always,exit -F arch=b64 -S fchown -F auid>=500 -F auid!=4294967295 \
-k perm_mod
-a always,exit -F arch=b64 -S fchown -F auid=0 -k perm_mod",C-46110r2_chk,"To determine if the system is configured to audit calls to the ""fchown"" system call, run the following command:

$ sudo grep -w ""fchown"" /etc/audit/audit.rules

If the system is configured to audit this activity, it will return several lines. 

If no line is returned, this is a finding. "
V-38498,medium,Audit log files must have mode 0640 or less permissive.,"If users can write to audit logs, audit trails can be modified or destroyed.",None,SV-50299r1_rule,F-43445r1_fix,"Change the mode of the audit log files with the following command: 

# chmod 0640 [audit_file]",C-46055r1_chk,"Run the following command to check the mode of the system audit logs: 

grep ""^log_file"" /etc/audit/auditd.conf|sed s/^[^\/]*//|xargs stat -c %a:%n

Audit logs must be mode 0640 or less permissive. 
If any are more permissive, this is a finding."
V-38550,low,The audit system must be configured to audit all discretionary access control permission modifications using fchmodat.,The changing of file permissions could indicate that a user is attempting to gain access to information that would otherwise be disallowed. Auditing DAC modifications can facilitate the identification of patterns of abuse among both authorized and unauthorized users.,None,SV-50351r3_rule,F-43498r2_fix,"At a minimum, the audit system should collect file permission changes for all users and root. Add the following to ""/etc/audit/audit.rules"": 

-a always,exit -F arch=b32 -S fchmodat -F auid>=500 -F auid!=4294967295 \
-k perm_mod
-a always,exit -F arch=b32 -S fchmodat -F auid=0 -k perm_mod

If the system is 64-bit, then also add the following: 

-a always,exit -F arch=b64 -S fchmodat -F auid>=500 -F auid!=4294967295 \
-k perm_mod
-a always,exit -F arch=b64 -S fchmodat -F auid=0 -k perm_mod",C-46108r2_chk,"To determine if the system is configured to audit calls to the ""fchmodat"" system call, run the following command:

$ sudo grep -w ""fchmodat"" /etc/audit/audit.rules

If the system is configured to audit this activity, it will return several lines. 

If no line is returned, this is a finding. "
V-38557,low,The audit system must be configured to audit all discretionary access control permission modifications using fsetxattr.,The changing of file permissions could indicate that a user is attempting to gain access to information that would otherwise be disallowed. Auditing DAC modifications can facilitate the identification of patterns of abuse among both authorized and unauthorized users.,None,SV-50358r3_rule,F-43505r2_fix,"At a minimum, the audit system should collect file permission changes for all users and root. Add the following to ""/etc/audit/audit.rules"": 

-a always,exit -F arch=b32 -S fsetxattr -F auid>=500 -F auid!=4294967295 \
-k perm_mod
-a always,exit -F arch=b32 -S fsetxattr -F auid=0 -k perm_mod

If the system is 64-bit, then also add the following: 

-a always,exit -F arch=b64 -S fsetxattr -F auid>=500 -F auid!=4294967295 \
-k perm_mod
-a always,exit -F arch=b64 -S fsetxattr -F auid=0 -k perm_mod",C-46115r2_chk,"To determine if the system is configured to audit calls to the ""fsetxattr"" system call, run the following command:

$ sudo grep -w ""fsetxattr"" /etc/audit/audit.rules

If the system is configured to audit this activity, it will return several lines. 

If no line is returned, this is a finding. "
V-38556,low,The audit system must be configured to audit all discretionary access control permission modifications using fremovexattr.,The changing of file permissions could indicate that a user is attempting to gain access to information that would otherwise be disallowed. Auditing DAC modifications can facilitate the identification of patterns of abuse among both authorized and unauthorized users.,None,SV-50357r3_rule,F-43504r2_fix,"At a minimum, the audit system should collect file permission changes for all users and root. Add the following to ""/etc/audit/audit.rules"": 

-a always,exit -F arch=b32 -S fremovexattr -F auid>=500 -F auid!=4294967295 \
-k perm_mod
-a always,exit -F arch=b32 -S fremovexattr -F auid=0 -k perm_mod

If the system is 64-bit, then also add the following: 

-a always,exit -F arch=b64 -S fremovexattr -F auid>=500 -F auid!=4294967295 \
-k perm_mod
-a always,exit -F arch=b64 -S fremovexattr -F auid=0 -k perm_mod",C-46114r2_chk,"To determine if the system is configured to audit calls to the ""fremovexattr"" system call, run the following command:

$ sudo grep -w ""fremovexattr"" /etc/audit/audit.rules

If the system is configured to audit this activity, it will return several lines. 

If no line is returned, this is a finding. "
V-38555,medium,The system must employ a local IPv4 firewall.,"The ""iptables"" service provides the system's host-based firewalling capability for IPv4 and ICMP.",None,SV-50356r2_rule,F-43503r2_fix,"The ""iptables"" service can be enabled with the following commands: 

# chkconfig iptables on
# service iptables start",C-46113r2_chk,"If the system is a cross-domain system, this is not applicable.

Run the following command to determine the current status of the ""iptables"" service: 

# service iptables status

If the service is not running, it should return the following: 

iptables: Firewall is not running.


If the service is not running, this is a finding."
V-38554,low,The audit system must be configured to audit all discretionary access control permission modifications using fchownat.,The changing of file permissions could indicate that a user is attempting to gain access to information that would otherwise be disallowed. Auditing DAC modifications can facilitate the identification of patterns of abuse among both authorized and unauthorized users.,None,SV-50355r3_rule,F-43502r2_fix,"At a minimum, the audit system should collect file permission changes for all users and root. Add the following to ""/etc/audit/audit.rules"": 

-a always,exit -F arch=b32 -S fchownat -F auid>=500 -F auid!=4294967295 \
-k perm_mod
-a always,exit -F arch=b32 -S fchownat -F auid=0 -k perm_mod

If the system is 64-bit, then also add the following: 

-a always,exit -F arch=b64 -S fchownat -F auid>=500 -F auid!=4294967295 \
-k perm_mod
-a always,exit -F arch=b64 -S fchownat -F auid=0 -k perm_mod",C-46112r2_chk,"To determine if the system is configured to audit calls to the ""fchownat"" system call, run the following command:

$ sudo grep -w ""fchownat"" /etc/audit/audit.rules

If the system is configured to audit this activity, it will return several lines. 

If no line is returned, this is a finding. "
V-51875,medium,"The operating system, upon successful logon/access, must display to the user the number of unsuccessful logon/access attempts since the last successful logon/access.",Users need to be aware of activity that occurs regarding their account. Providing users with information regarding the number of unsuccessful attempts that were made to login to their account allows the user to determine if any unauthorized activity has occurred and gives them an opportunity to notify administrators. ,None,SV-66089r1_rule,F-56701r1_fix,"To configure the system to notify users of last logon/access using ""pam_lastlog"", add the following line immediately after ""session required pam_limits.so"":

session required pam_lastlog.so showfailed",C-54013r1_chk,"To ensure that last logon/access notification is configured correctly, run the following command:

# grep pam_lastlog.so /etc/pam.d/system-auth

The output should show output ""showfailed"". If that is not the case, this is a finding. "
V-38493,medium,Audit log directories must have mode 0755 or less permissive.,"If users can delete audit logs, audit trails can be modified or destroyed.",None,SV-50294r1_rule,F-43440r1_fix,"Change the mode of the audit log directories with the following command: 

# chmod go-w [audit_directory]",C-46050r1_chk,"Run the following command to check the mode of the system audit directories: 

grep ""^log_file"" /etc/audit/auditd.conf|sed 's/^[^/]*//; s/[^/]*$//'|xargs stat -c %a:%n

Audit directories must be mode 0755 or less permissive. 
If any are more permissive, this is a finding."
V-38559,low,The audit system must be configured to audit all discretionary access control permission modifications using lremovexattr.,The changing of file permissions could indicate that a user is attempting to gain access to information that would otherwise be disallowed. Auditing DAC modifications can facilitate the identification of patterns of abuse among both authorized and unauthorized users.,None,SV-50360r3_rule,F-43507r2_fix,"At a minimum, the audit system should collect file permission changes for all users and root. Add the following to ""/etc/audit/audit.rules"": 

-a always,exit -F arch=b32 -S lremovexattr -F auid>=500 -F auid!=4294967295 \
-k perm_mod
-a always,exit -F arch=b32 -S lremovexattr -F auid=0 -k perm_mod

If the system is 64-bit, then also add the following: 

-a always,exit -F arch=b64 -S lremovexattr -F auid>=500 -F auid!=4294967295 \
-k perm_mod
-a always,exit -F arch=b64 -S lremovexattr -F auid=0 -k perm_mod",C-46117r2_chk,"To determine if the system is configured to audit calls to the ""lremovexattr"" system call, run the following command:

$ sudo grep -w ""lremovexattr"" /etc/audit/audit.rules

If the system is configured to audit this activity, it will return several lines. 

If no line is returned, this is a finding. "
V-38558,low,The audit system must be configured to audit all discretionary access control permission modifications using lchown.,The changing of file permissions could indicate that a user is attempting to gain access to information that would otherwise be disallowed. Auditing DAC modifications can facilitate the identification of patterns of abuse among both authorized and unauthorized users.,None,SV-50359r3_rule,F-43506r2_fix,"At a minimum, the audit system should collect file permission changes for all users and root. Add the following to ""/etc/audit/audit.rules"": 

-a always,exit -F arch=b32 -S lchown -F auid>=500 -F auid!=4294967295 \
-k perm_mod
-a always,exit -F arch=b32 -S lchown -F auid=0 -k perm_mod

If the system is 64-bit, then also add the following: 

-a always,exit -F arch=b64 -S lchown -F auid>=500 -F auid!=4294967295 \
-k perm_mod
-a always,exit -F arch=b64 -S lchown -F auid=0 -k perm_mod",C-46116r2_chk,"To determine if the system is configured to audit calls to the ""lchown"" system call, run the following command:

$ sudo grep -w ""lchown"" /etc/audit/audit.rules

If the system is configured to audit this activity, it will return several lines. 

If no line is returned, this is a finding. "
V-38496,medium,"Default operating system accounts, other than root, must be locked.",Disabling authentication for default system accounts makes it more difficult for attackers to make use of them to compromise a system.,None,SV-50297r3_rule,F-43442r2_fix,"Some accounts are not associated with a human user of the system, and exist to perform some administrative function. An attacker should not be able to log into these accounts. 

Disable logon access to these accounts with the command: 

# passwd -l [SYSACCT]",C-46052r2_chk,"To obtain a listing of all users and the contents of their shadow password field, run the command: 

$ awk -F: '$1 !~ /^root$/ && $2 !~ /^[!*]/ {print $1 "":"" $2}' /etc/shadow

Identify the operating system accounts from this listing. These will primarily be the accounts with UID numbers less than 500, other than root. 

If any default operating system account (other than root) has a valid password hash, this is a finding."
V-38497,high,The system must not have accounts configured with blank or null passwords.,"If an account has an empty password, anyone could log in and run commands with the privileges of that account. Accounts with empty passwords should never be used in operational environments.",None,SV-50298r2_rule,F-43444r4_fix,"If an account is configured for password authentication but does not have an assigned password, it may be possible to log onto the account without authentication. Remove any instances of the ""nullok"" option in ""/etc/pam.d/system-auth"" to prevent logons with empty passwords.",C-46054r2_chk,"To verify that null passwords cannot be used, run the following command: 

# grep nullok /etc/pam.d/system-auth

If this produces any output, it may be possible to log into accounts with empty passwords. 
If NULL passwords can be used, this is a finding."
V-38494,low,The system must prevent the root account from logging in from serial consoles.,Preventing direct root login to serial port interfaces helps ensure accountability for actions taken on the systems using the root account.,None,SV-50295r1_rule,F-43441r1_fix,"To restrict root logins on serial ports, ensure lines of this form do not appear in ""/etc/securetty"": 

ttyS0
ttyS1

Note:  Serial port entries are not limited to those listed above.  Any lines starting with ""ttyS"" followed by numerals should be removed",C-46051r1_chk,"To check for serial port entries which permit root login, run the following command: 

# grep '^ttyS[0-9]' /etc/securetty

If any output is returned, then root login over serial ports is permitted. 
If root login over serial ports is permitted, this is a finding."
V-38523,medium,The system must not accept IPv4 source-routed packets on any interface.,Accepting source-routed packets in the IPv4 protocol has few legitimate uses. It should be disabled unless it is absolutely required.,None,SV-50324r2_rule,F-43471r1_fix,"To set the runtime status of the ""net.ipv4.conf.all.accept_source_route"" kernel parameter, run the following command: 

# sysctl -w net.ipv4.conf.all.accept_source_route=0

If this is not the system's default value, add the following line to ""/etc/sysctl.conf"": 

net.ipv4.conf.all.accept_source_route = 0",C-46081r3_chk,"The status of the ""net.ipv4.conf.all.accept_source_route"" kernel parameter can be queried by running the following command:

$ sysctl net.ipv4.conf.all.accept_source_route

The output of the command should indicate a value of ""0"". If this value is not the default value, investigate how it could have been adjusted at runtime, and verify it is not set improperly in ""/etc/sysctl.conf"".

$ grep net.ipv4.conf.all.accept_source_route /etc/sysctl.conf

If the correct value is not returned, this is a finding. "
V-38672,low,The netconsole service must be disabled unless required.,"The ""netconsole"" service is not necessary unless there is a need to debug kernel panics, which is not common.",None,SV-50473r2_rule,F-43622r2_fix,"The ""netconsole"" service is responsible for loading the netconsole kernel module, which logs kernel printk messages over UDP to a syslog server. This allows debugging of problems where disk logging fails and serial consoles are impractical. The ""netconsole"" service can be disabled with the following commands: 

# chkconfig netconsole off
# service netconsole stop",C-46233r1_chk,"To check that the ""netconsole"" service is disabled in system boot configuration, run the following command: 

# chkconfig ""netconsole"" --list

Output should indicate the ""netconsole"" service has either not been installed, or has been disabled at all runlevels, as shown in the example below: 

# chkconfig ""netconsole"" --list
""netconsole"" 0:off 1:off 2:off 3:off 4:off 5:off 6:off

Run the following command to verify ""netconsole"" is disabled through current runtime configuration: 

# service netconsole status

If the service is disabled the command will return the following output: 

netconsole is stopped


If the service is running, this is a finding."
V-38673,medium,"The operating system must ensure unauthorized, security-relevant configuration changes detected are tracked.","By default, AIDE does not install itself for periodic execution. Periodically running AIDE may reveal unexpected changes in installed files.",None,SV-50474r2_rule,F-43621r1_fix,"AIDE should be executed on a periodic basis to check for changes. To implement a daily execution of AIDE at 4:05am using cron, add the following line to /etc/crontab: 

05 4 * * * root /usr/sbin/aide --check

AIDE can be executed periodically through other means; this is merely one example.",C-46232r2_chk,"To determine that periodic AIDE execution has been scheduled, run the following command: 

# grep aide /etc/crontab /etc/cron.*/*

If there is no output, this is a finding."
V-38670,medium,The operating system must detect unauthorized changes to software and information. ,"By default, AIDE does not install itself for periodic execution. Periodically running AIDE may reveal unexpected changes in installed files.",None,SV-50471r2_rule,F-43619r1_fix,"AIDE should be executed on a periodic basis to check for changes. To implement a daily execution of AIDE at 4:05am using cron, add the following line to /etc/crontab: 

05 4 * * * root /usr/sbin/aide --check

AIDE can be executed periodically through other means; this is merely one example.",C-46229r2_chk,"To determine that periodic AIDE execution has been scheduled, run the following command: 

# grep aide /etc/crontab /etc/cron.*/*

If there is no output, this is a finding."
V-38671,medium,The sendmail package must be removed.,The sendmail software was not developed with security in mind and its design prevents it from being effectively contained by SELinux. Postfix should be used instead.,None,SV-50472r1_rule,F-43620r1_fix,"Sendmail is not the default mail transfer agent and is not installed by default. The ""sendmail"" package can be removed with the following command: 

# yum erase sendmail",C-46231r1_chk,"Run the following command to determine if the ""sendmail"" package is installed: 

# rpm -q sendmail


If the package is installed, this is a finding."
